// cmdid = message (HSR-OWNER); real name where known, // obf: original
4 = GetLevelRewardTakenListScRsp  // obf: GPONDAHEKJN
5 = PlayerLogoutCsReq  // obf: GNKOABEBAIA
8 = ExchangeStaminaCsReq  // obf: INLFBAGCCLG
9 = GetVideoVersionKeyCsReq  // obf: ICJJFFBPOGC
10 = DailyRefreshNotify  // obf: KKEFJFJLOMJ
11 = AntiAddictScNotify
12 = RegionStopScNotify  // obf: ACGGABPHCDA
13 = SetGameplayBirthdayCsReq  // obf: OGIJHINKOKN
14 = GateServerScNotify  // obf: PLHFGMCNOAJ
15 = EnterStageCsReq  // obf: NKBBEOEGBAO
16 = PlayerGetTokenScRsp  // obf: KJAFBEGOCHP
17 = SetNicknameCsReq  // obf: KIKFIKEAJFP
18 = UpdatePlayerSettingScRsp  // obf: OGPOBJMBBLE
19 = GetLevelRewardCsReq  // obf: JDAFEAJCJIB
21 = GetAuthkeyScRsp  // obf: JKPONOOMEGF
23 = SetGameplayBirthdayScRsp  // obf: EAAHHGIGLNN
25 = PlayerLoginScRsp  // obf: ADODOFNNPEO
26 = UpdateFeatureSwitchScNotify
27 = GetVideoVersionKeyScRsp  // obf: KAHKFFDIHNN
28 = ReserveStaminaExchangeCsReq  // obf: KOMDFDFEGDN
30 = SetPlayerInfoScRsp  // obf: JNAOCJBLPPC
31 = GetSecretKeyInfoCsReq  // obf: JODCPJNHFDL
33 = KEKFNKDLDOM
34 = PlayerLoginCsReq  // obf: LEGAPPMEBBL
35 = ClientObjUploadScRsp  // obf: AMHDDDHIGAM
36 = FeatureSwitchClosedScNotify  // obf: DCJOEGCEEOP
38 = SetNicknameScRsp  // obf: KBEFGELEMLB
40 = SetGenderCsReq  // obf: AIOOFPINJMD
41 = SetPlayerInfoCsReq  // obf: HIPEONEPCFF
42 = EnterStageScRsp  // obf: AJJANFENPNB
44 = PlayerHeartBeatCsReq  // obf: EFKHBCOKGLG
45 = UpdatePlayerSettingCsReq  // obf: KLDMCHLFPDL
47 = QueryProductInfoScRsp  // obf: GLCGPJLPPPD
50 = ReserveStaminaExchangeScRsp  // obf: OBAMDDOKJIH
51 = SetLanguageCsReq  // obf: LICFNFGCOFN
52 = ClientObjDownloadDataScNotify  // obf: AGBAOKHOJJP
53 = RetcodeNotify  // obf: IAOCHINIPGK
56 = GmTalkScNotify  // obf: JKJMAKHANPB
57 = AceAntiCheaterScRsp  // obf: MHMFPLEKOIL
59 = PlayerForceSyncGameStateFinishCsReq  // obf: ANCNILJJBND
60 = PlayerGetTokenCsReq  // obf: MLINFKJIAEL
62 = PlayerHeartBeatScRsp  // obf: MPDNBOMJIKD
63 = PlayerLoginFinishScRsp  // obf: ELCNIAHOIMG
64 = GetAuthkeyCsReq  // obf: LNOPIOLJJKC
67 = GetBasicInfoScRsp
68 = ExchangeStaminaScRsp
70 = ClientDownloadDataScNotify  // obf: NPGNDMDNPEM
71 = IDAIHHGGPIJ
72 = EMFKFGCBJBP
73 = ServerAnnounceNotify  // obf: BIDBPLDFGNK
74 = PlayerForceSyncGameStateFinishScRsp  // obf: GGIHCKPGACF
76 = AceAntiCheaterCsReq  // obf: FLMODPLLMNF
78 = GetLevelRewardTakenListCsReq  // obf: FMKFINNEDEG
79 = SetGenderScRsp  // obf: PEDNDGLKGKN
80 = GetBasicInfoCsReq  // obf: DABIFJNADLI
83 = PlayerSqueezedScNotify  // obf: FJGOPHGFOGD
85 = GetLevelRewardScRsp  // obf: FBABBOPJMLK
87 = PlayerLoginFinishCsReq  // obf: HMFGBKIIHKB
89 = AFDOMLOABJB
91 = GetSecretKeyInfoScRsp  // obf: AHIEHELEMMN
93 = SetLanguageScRsp  // obf: BGFAPAAMJOF
94 = ClientObjUploadCsReq  // obf: AMIMPEBJMAP
96 = QueryProductInfoCsReq  // obf: FAICKIOJMDI
97 = MonthCardRewardNotify  // obf: KLMEKMCOMBA
99 = StaminaInfoScNotify  // obf: DDDDKIANBGI
100 = SetRedPointStatusScNotify  // obf: BPKIBBNHPAA
105 = QuitBattleCsReq  // obf: JBCEHDGNGPJ
108 = RebattleByClientCsNotify  // obf: AFJAOKMCFEB
116 = GetCurBattleInfoScRsp  // obf: LJJAAGCEBCK
125 = PVEBattleResultScRsp  // obf: PPNMNDKILGL
134 = PVEBattleResultCsReq  // obf: CHIIPPKECEF
156 = SyncClientResVersionScRsp  // obf: KHENECNMFPI
158 = SyncClientResVersionCsReq  // obf: ILIHCBAFEJH
160 = GetCurBattleInfoCsReq  // obf: FAMHHDBNNFD
168 = BattleReplayScNotify  // obf: OJOEOMAKAGI
175 = QuitBattleScRsp  // obf: LJOHANHDEOE
183 = QuitBattleScNotify  // obf: KLMKJAANLKB
303 = SetGrowthTargetAvatarScRsp  // obf: KNHKBNKAJAN
304 = DressAvatarSkinScRsp  // obf: GEKMCGJPEEF
305 = AvatarExpUpCsReq  // obf: DHLCJGKLPCJ
