OGIFJNIGHBO PreAvatarGrowthMaterialData
LBKMCGDMNJO AvatarLineup
KFOLFMNALLK Equipment
BPGHDFAFMKH Relic
NKELBKHIEKB PlayerBasicInfo
AJLNGGEEFKD RelicAffix
DPMFBDHCNNO AvatarBattleInfo
FCDDPJIEDGP MonsterBattleInfo
LOHBCIPAIPI BattleEventBattleInfo
CAGKEDMHEOI ItemCostList
IGLLJCAMGMO KillMonster
GEGKPEHKGCB CurChallenge
OIHFMECAJBH ChallengeAvatarInfo
ALIOECIFDKK ChallengeStageInfo
PKPICFPDHEO LineupInfo
KHNBFDNKLHE SceneInfo
KIKDEEOGENM LineupAvatar
DGDHPPIHNMA Mission
FEBFJNFNBAP MissionCustomValue
FJEFBKAKNAH MainMissionCustomValue
HLPHDFJIHKL Quest
NNPGLCGNICI SceneBattleInfo
HMBLPJDFEGJ HeadFrameInfo
LDJDPENEGNH PunkLordMonsterBasicInfo
LKLKNFHKCBK GachaInfo
GAJFCLMAAAP TrialActivityInfo
JAEJPFGMAAO ReloginType
EBIPBHFLPHL GateServer
NLNKIGMDODK AnnounceData
KKODEADFMJM MissionStatusBySceneInfo
EOJCKAGKGBM MissionSync
NHGJGMAEBCI PlayerBoardModuleSync
IAIDGGGMBPJ BasicModuleSync
FPMOEFOEJEE HeadIconData
BMJPAPIDKKM DisplayAvatarData
IJGOMNMKCDJ BattleEndStatus
CNCFAGLOBHO BattleStaticticEventType
HFALLFOEHKN BattleAvatarServantInfo
KHJJGHDAPFD BattleAvatarGlobalBuffInfo
ABIEGBANPEE StatisticEvent
LCCJKNEADPL BattleStatistics
OIDOOKMAEKE ArchiveData
HILCBNGIFKL BlackInfo
OFMDLKJHMED BenefitData
JOCIBBFJPMP ChallengeLineupList
KLJKOBOHPAB ChallengePeakBuild
DAGBNGJFCMG EntityMotion
BJLOENPDAHE BuffInfo
BFAGAEJHEJH SceneEntityGroupInfo
JMKCMFMGBJO SceneSummonUnitInfo
FENMFIBCEMO ChallengeStatus
KOLCCDIJBGO FateBuffData
PLMAMHBLJKP ActiveTraitSourceList
OBINJKCBALC ClockParkBuffList
APHKOFKECCK AetherDivideBattleInfo
FPIBAIPJCMD HeliobusChallengeData
PJLJFPBKPII WaitDelResource
MKBLHJNNPEF Material
MLCPGAGPBDL DisplayEquipmentInfo
BBNFMNHGIPN FriendSimpleInfo
EGLBADOKDEN PlayerDetailInfo
LDCFLPGNOJE FriendApplyInfo
LJOLNGEEKFE FriendRecommendInfo
HCBHBJEOCHL PlayerAssistInfo
JFHILPANBNL PlatformType
EAFMJGEGIDG PlayerRecordInfo
NDJDKPMKDJD LuckyKoiInfoList
NEBJABOEDND ChimeraDuelPlayerRankData
LOJIKMHLCBL ChallengeBossAvatarRelicInfo
OINNEGOFKAA ChallengeBossEquipmentInfo
LGMFKDCCDNN ChallengePeakLineup
CDMFOJKAHFC PlayerChallengePeakRecordMobData
NIFNAMDEPIL PlayerChallengePeakRecordBossData
BFAKCFDPNFM PlanetFesUnlockChange
JIKCANCJHNC ChallengePeakBossFriendLineupRecommendation
HEACNLOGGPH SceneMapInfo
DKFNBJOGFME GroupRefreshInfo
JMEOHDKGMHK BigDataRecommendType
DAGNHGIBCPG ContentPackageInfo
HODNCFNOPDA ContentPackageData
NMLPMPKAPHE ContentPackageStatus
IGLEGGJHBDN DailyActivityInfo
NMHHIBMCJHI OfferingInfo
HNFFJNEKJHA TryDownLoadReplay
CJLFDFFBOHM RebattleType
ADBNDDAJGBP FriendChallengeLineup
BPLFICOBKKK FriendChallengeClearanceInfo
MIGHOPHLBMF ChallengeBossSingleNodeInfo
BMGMHALNJAD WaitConfirmData
IKCDOOFJDKO ActiveActivityData
PIHKLPJGEPM GridFightPlayerLevelSyncInfo
HONNGJEMGGH GridFightShopSyncInfo
MMEDLCAENAL GridFightOrbSyncInfo
POCJDMMANBM GridFightGameShopInfo
HDEIAANGMDB GridFightShopGoodsInfo
AOFOEOIJEHF GridFightGameItemSyncInfo
CDEAABODKCP GridGameRoleInfo
GGNKDLAHAGH GridFightLockType
KMJNPEMPNMC GridFightLockReason
JEHMCCGIOKG GridFightDropReason
PEIJNEFOCHI GridFightSettleReason
ONKMLAEHDBO GridFightGameInfo
MPIMAEMCEFH GridFightCurrentInfo
NIHNGPKHEPC GridFightGameBasicInfo
GGAKNLJJNEI GridGameNpcInfo
DDAMEHEPOBD GridGameForgeItemInfo
MGBHKCMHDOK GridFightTraitEffectInfo
JLKCBOIFJKC GridFightTraitSyncInfo
FBNGHMHHHLL GridGameTraitInfo
HKFECLCHBFJ GridFightGameTeamInfo
FFOGFOBHDEK GridFightGameTraitInfo
LALKBPJANIH GridFightConsumableInfo
IJDLENJJBHJ GridFightEquipmentInfo
CONONEALNOF GridFightGameItemsInfo
GIDEDMOPFKF GridFightGamePortalBuffInfo
KKBGIPCAGGH GridFightEncounterInfo
NBGDEFLFLMI GridFightSupplyRoleInfo
NCKOKDHNJDC GridFightLayerInfo
LHLMPOHKPKG GridFightSectionRecordInfo
BHBAILHMCOI GridFightDamageSttInfo
BEEFLEJAOCN GridFightLevelInfo
DBONCGFHHDN GridFightGameOrbInfo
HKDACEAEDDE GridFightGameData
NJKFOJJDGGG GridFightGameItemInfo
PPGEBEBPMJC GridGameAugmentInfo
OMINPDAIBLP GridFightGameAugmentAdd
ECLKNNECNFK GridFightGameAugmentUpdate
KGFNICBCMOA GridFightGameAugmentSync
FLGMGNEOFBH GridFightConsumableUpdateInfo
AINFNFIDGFF GridFightLevelSyncInfo
FBCIJONDIJE GridFightTraitTrackSyncInfo
JJOBHGFOGHP RoleTrackEquipmentInfo
KFNCAIHIHCM GridFightSyncData
LMIFHAMFCFE GridFightConsumableTargetInfo
PEFKOGMGEIC GridFightPortalBuffActionInfo
IHGANLCNHBD GridFightPendingAugmentInfo
IPFFLNPMCEG GridFightAugmentActionInfo
COGDEMPCLHA GridFightRecommendEquipmentActionInfo
FGLLAJMCPKM GridFightForgeRoleActionInfo
CHCHAJIANIM GridFightPendingAction
GEDDNPGHNGP GridFightHpModifyInfo
FMNKKAMOHEE GridFightTalentInfo
AMEEHIIPMFP GridFightStaticGameInfo
CLEDCMIOIPF GridFightSystemInfo
NCHKFJPOHAH GridFightHandBookRoleInfo
FCEILNCDMAH GridFightHandBookEquipInfo
GKNIJKHENBF GridFightHandBookAugmentInfo
NEDHMLJKIOA GridFightHandBookPortalInfo
AHPHDNBNLPJ GridFightHandBookMonsterInfo
NMECHIFGKAD GridFightHandBookInfo
FAIHLAKPABN GridFightArchiveData
GEPAFBJBGBH GridFightCurrentTask
HGEAOCGDCHD GridFightSyncCurrentTaskInfo
OCPHKBAPEGF FriendGridFightRecord
IHIDPEDODEN BattleGridFightTraitEffectInfo
LFJNNOOOGOH BattleGridFightSpecialBattleInfo
KDMEFGANLKI Vector
FCKNFOKENDN ChatData
FIDLDJOOPMO AvatarProperty
LJAPBLLGAJN SkillUseProperty
